Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
"asin=""B083WLDBWW""",TARGETING_EXPRESSION,3344,2,49.23,0.0,0,,24.61,0.0,MONITOR
"asin=""B08HHXKJY3""",TARGETING_EXPRESSION,415,1,46.35,0.0,0,,46.35,0.0,MONITOR
"asin=""B09RF9RXDW""",TARGETING_EXPRESSION,1554,2,44.53,0.0,0,,22.27,0.0,MONITOR
"asin=""B0797DGDTG""",TARGETING_EXPRESSION,1093,2,43.54,0.0,0,,21.77,0.0,MONITOR
"asin=""B092R2G7FF""",TARGETING_EXPRESSION,1628,3,41.07,0.0,0,,13.69,0.0,MONITOR
"asin=""B0FFBC22J7""",TARGETING_EXPRESSION,488,3,35.48,0.0,0,,11.83,0.0,MONITOR
"asin=""B0FPFZYFMR""",TARGETING_EXPRESSION,464,2,32.3,194.07,1,16.64,16.15,50.0,MONITOR
hand wash,EXACT,165,1,31.2,0.0,0,,31.2,0.0,MONITOR
toilet cleaner,EXACT,310,1,31.15,194.07,1,16.05,31.15,100.0,MONITOR
"asin=""B01DF0VYV0""",TARGETING_EXPRESSION,704,2,28.13,0.0,0,,14.06,0.0,MONITOR
"asin=""B09B1XVRXS""",TARGETING_EXPRESSION,847,1,27.43,0.0,0,,27.43,0.0,MONITOR
"asin=""B0F48B28X6""",TARGETING_EXPRESSION,502,1,27.42,0.0,0,,27.42,0.0,MONITOR
"asin=""B0F5WR1W9W""",TARGETING_EXPRESSION,459,1,26.72,0.0,0,,26.72,0.0,MONITOR
"asin=""B0FFB9VK8N""",TARGETING_EXPRESSION,465,2,26.33,0.0,0,,13.16,0.0,MONITOR
hard water stain remover for tiles,EXACT,240,1,16.09,0.0,0,,16.09,0.0,MONITOR
glass cleaner,PHRASE,736,1,14.38,0.0,0,,14.38,0.0,MONITOR
"asin=""B08YX8PQP9""",TARGETING_EXPRESSION,388,1,13.96,0.0,0,,13.96,0.0,MONITOR
"asin=""B0F8J275QC""",TARGETING_EXPRESSION,46,1,10.95,0.0,0,,10.95,0.0,MONITOR
"asin=""B0F8HXFXMH""",TARGETING_EXPRESSION,213,1,10.53,0.0,0,,10.53,0.0,MONITOR
dishwash gel,EXACT,0,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0FH75NMJ9""",TARGETING_EXPRESSION,357,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0CYLXXTT3""",TARGETING_EXPRESSION,128,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8HX1LWF""",TARGETING_EXPRESSION,164,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8HSCMZB""",TARGETING_EXPRESSION,10,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8HF1BLP""",TARGETING_EXPRESSION,15,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8HPR6V1""",TARGETING_EXPRESSION,399,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8J41165""",TARGETING_EXPRESSION,22,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0F8J4RHL5""",TARGETING_EXPRESSION,19,0,0.0,0.0,0,,0,0,MONITOR
toilet liquid cleaner,EXACT,78,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0G12KKGL4""",TARGETING_EXPRESSION,9,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B08H6J12Q7""",TARGETING_EXPRESSION,441,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B08SR36VSN""",TARGETING_EXPRESSION,34,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B088V935YJ""",TARGETING_EXPRESSION,549,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0FFT29CL7""",TARGETING_EXPRESSION,120,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0FYQ4Q83C""",TARGETING_EXPRESSION,438,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B011972NBQ""",TARGETING_EXPRESSION,1,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0BGY15KJL""",TARGETING_EXPRESSION,960,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0CSWJ1LXB""",TARGETING_EXPRESSION,1172,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B07JM9B9DB""",TARGETING_EXPRESSION,0,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B09B1MV8LX""",TARGETING_EXPRESSION,54,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B07KTB8BBV""",TARGETING_EXPRESSION,6,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B07KTKPHRT""",TARGETING_EXPRESSION,126,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B0B8HJ7Q8D""",TARGETING_EXPRESSION,785,0,0.0,0.0,0,,0,0,MONITOR
"asin=""B01N3CXLEZ""",TARGETING_EXPRESSION,354,0,0.0,0.0,0,,0,0,MONITOR
