run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,found_any,page_est,pos_on_page,is_sponsored
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hair oil for hair fall,B0FDQZDJF1,ok,4,True,4,30,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hair oil for dandruff,B0FDQZDJF1,ok,3,True,3,41,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,ayurvedic hair oil,B0FDQZDJF1,ok,3,True,3,24,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kesar chandan scrub,B0FDQVW4YD,ok,1,True,1,2,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,ayurvedic scrub for face,B0FDQVW4YD,ok,1,True,1,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf liners for kitchen shelves,B0BN5NZCGH,ok,1,True,1,27,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym mats for floor,B09MY5K3SH,ok,1,True,1,10,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,drawer mat,B0BN5NZCGH,ok,1,True,1,19,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym mat,B09MY5K3SH,ok,1,True,1,19,True
20-01-2026,20-01-2026 15:00:58,www.amazon.in,interlocking play mats for kids,B09MYDPF3Y,ok,1,True,1,2,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym matt for workout,B09MY5K3SH,ok,1,True,1,39,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,mat for kids,B09MYDPF3Y,ok,1,True,1,34,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,rubber mat for gym,B09MY5K3SH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf liners for wardrobe,B0BN5NZCGH,ok,1,True,1,36,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,interlocking mat,B09MY5K3SH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,floor mat for kids,B09MYDPF3Y,ok,2,True,2,50,True
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf liner,B0BN5NZCGH,ok,1,True,1,30,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,play mats for kids,B09MYDPF3Y,ok,1,True,1,23,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,rubber tiles for flooring,B09MY5K3SH,ok,1,True,1,18,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym floor mat rubber,B09MY5K3SH,ok,1,True,1,8,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen mats for shelves,B0BN5NZCGH,ok,1,True,1,34,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids mat for floor thick,B09MYDPF3Y,ok,1,True,1,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids mats for floor,B09MYDPF3Y,ok,1,True,1,15,False
