run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp,page_est,title,is_sponsored
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,mobile holder for car dashboard,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay adapter,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,wireless carplay,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,2 in 1 wireless carplay adapter,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
