keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
117772524313177,80.99,Ad Group - 24/12/2025 16:09:57.607,TARGETING_EXPRESSION,540001868136112,0,250,329783617455077,26.75,"asin=""B0FDQK3KN9""",TARGETING_EXPRESSION,6,0,"asin=""B0FDQK3KN9""",SP-Defensive-Face Cleanser
281004175929555,0,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,0,143,530622467560381,12.95,"asin=""B009WNYYQC""",TARGETING_EXPRESSION,0,0,"asin=""B009WNYYQC""",SP-PT-Face Scrub
145095660155764,54.25,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,0,268,530622467560381,16,"asin=""B0CM9B9FGV""",TARGETING_EXPRESSION,3,0,"asin=""B0CM9B9FGV""",SP-PT-Face Scrub
236390443817252,177.06,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,419.49,479,530622467560381,30,"asin=""B0CM9BK9YD""",TARGETING_EXPRESSION,5,1,"asin=""B0CM9BK9YD""",SP-PT-Face Scrub
117921416864250,1071.21,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,2097.45,2441,530622467560381,33,"asin=""B009X7RO3M""",TARGETING_EXPRESSION,27,5,"asin=""B009X7RO3M""",SP-PT-Face Scrub
207815199666831,1012.47,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,1258.48,1736,530622467560381,36,"asin=""B0CM9DPYN2""",TARGETING_EXPRESSION,26,3,"asin=""B0CM9DPYN2""",SP-PT-Face Scrub
195401304647918,62.9,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,0,188,530622467560381,27.61,"asin=""B0DY161JJD""",TARGETING_EXPRESSION,1,0,"asin=""B0DY161JJD""",SP-PT-Face Scrub
12088324291298,3348.72,Ad Group - 10/1/2026 13:08:14.108,TARGETING_EXPRESSION,530517008716333,5453.38,14726,415463865960692,29,"asin=""B0FDQVW4YD""",TARGETING_EXPRESSION,147,13,"asin=""B0FDQVW4YD""",SP-PT-Defensive
243794422445279,15.56,Ad Group - 26/12/2025 14:17:32.668,TARGETING_EXPRESSION,409719708082570,0,1296,530622467560381,5,"asin=""B0F1TDDNGD""",TARGETING_EXPRESSION,2,0,"asin=""B0F1TDDNGD""",SP-PT-Face Scrub
160531735615526,0,Ad Group - 10/2/2026 14:33:01.785,TARGETING_EXPRESSION,53792915779924,0,0,494171160497014,20,"asin=""B08XCR1RDK""",TARGETING_EXPRESSION,0,0,"asin=""B08XCR1RDK""",SP-PT-Night Cream-(Forest Essential)
131537416255740,0,Ad Group - 10/2/2026 14:33:01.785,TARGETING_EXPRESSION,53792915779924,0,268,494171160497014,32,"asin=""B06Y698HSX""",TARGETING_EXPRESSION,0,0,"asin=""B06Y698HSX""",SP-PT-Night Cream-(Forest Essential)
149317061379789,0,Ad Group - 10/2/2026 14:33:01.785,TARGETING_EXPRESSION,53792915779924,0,4,494171160497014,37,"asin=""B0F59JYKHJ""",TARGETING_EXPRESSION,0,0,"asin=""B0F59JYKHJ""",SP-PT-Night Cream-(Forest Essential)
153399117889067,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,78,394429305551220,20,"asin=""B08P3GL98M""",TARGETING_EXPRESSION,0,0,"asin=""B08P3GL98M""",SP-PT-Day Cream-(Forest Essentials)
208810753834291,30.0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,17,394429305551220,20,"asin=""B07FMGQ18V""",TARGETING_EXPRESSION,1,0,"asin=""B07FMGQ18V""",SP-PT-Day Cream-(Forest Essentials)
10296634043914,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,73,394429305551220,20,"asin=""B00R3J53MG""",TARGETING_EXPRESSION,0,0,"asin=""B00R3J53MG""",SP-PT-Day Cream-(Forest Essentials)
88840167106617,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,23,394429305551220,20.22,"asin=""B08XCR1RDK""",TARGETING_EXPRESSION,0,0,"asin=""B08XCR1RDK""",SP-PT-Day Cream-(Forest Essentials)
180760525067905,0,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,3,546641353074475,29.65,"asin=""B08JJZ9P6P""",TARGETING_EXPRESSION,0,0,"asin=""B08JJZ9P6P""",SP-PT-Hair Revitaliser-(Forest Essential)
1932072000221,0,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,9,546641353074475,34.21,"asin=""B08XCQD6FL""",TARGETING_EXPRESSION,0,0,"asin=""B08XCQD6FL""",SP-PT-Hair Revitaliser-(Forest Essential)
139357200797695,0,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,6,546641353074475,30,"asin=""B0CM9FF8JP""",TARGETING_EXPRESSION,0,0,"asin=""B0CM9FF8JP""",SP-PT-Hair Revitaliser-(Forest Essential)
151491610703923,39.63,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,419.49,206,396668873295896,20,"asin=""B08XC9BPD1""",TARGETING_EXPRESSION,2,1,"asin=""B08XC9BPD1""",SP-PT-Face Wash-(Forest Essential)
105663646315846,18.18,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,57,396668873295896,20,"asin=""B08XCR2MTR""",TARGETING_EXPRESSION,1,0,"asin=""B08XCR2MTR""",SP-PT-Face Wash-(Forest Essential)
88010651474472,140.53,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,1119,396668873295896,30,"asin=""B009VFVRMK""",TARGETING_EXPRESSION,5,0,"asin=""B009VFVRMK""",SP-PT-Face Wash-(Forest Essential)
