cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
91.55,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQJTFP2,5,SRA-0006,0,0,1051,SP-PT-Defensive,415463865960692
352.46,4,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDL2SCRM,20,SRA-0001,4,1677.96,1887,SP-PT-Defensive,415463865960692
352.46,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDL3VPCL,18,SRA-0003,0,0,1394,SP-PT-Defensive,415463865960692
150.95,1,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQPLGWM,8,SRA-0007,1,419.49,611,SP-PT-Defensive,415463865960692
10.2,0,SAGE ROYAL AYURVEDA - Face,96684110819913,B0FDR1Z162,2,SRA-0012,0,0,8805,GR-4STAR ASIN 2026 e51b4f,372404657411908
704.58,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,B0FDL28RZX,46,SRA-0002,0,0,49326,SP-KT-Night & Day Cream,418846667332067
568.33,1,Ad Group - 2/3/2026 13:45:41.026,179650559035714,B0FDL3VPCL,42,SRA-0003,1,677.12,19302,SP-KT-Night & Day Cream,418846667332067
311.67,0,Ad Group - 2/3/2026 13:03:28.360,22913106144338,B0FDR1RNPJ,15,SRA-0013,0,0,12135,SP-KT-Face Mask,293912773304118
0,0,Ad Group - 2/3/2026 13:49:59.785,21171896476311,B0FDL2SCRM,0,SRA-0001,0,0,62,SP-KT-Ultimate Rejuvenator Cream,428828255803835
9.89,0,Ad Group - 2/3/2026 13:39:05.809,165848451288933,B0FDQK3KN9,1,SRA-0005,0,0,26028,SP-KT-Face Wash,329565943315869
9.59,0,Ad Group - 2/3/2026 13:39:05.809,165848451288933,B0FDQPLGWM,1,SRA-0007,0,0,10829,SP-KT-Face Wash,329565943315869
30.91,0,Ad Group - 2/3/2026 13:39:05.809,165848451288933,B0FDQJTFP2,1,SRA-0006,0,0,352,SP-KT-Face Wash,329565943315869
0,0,Ad Group - 2/3/2026 13:39:05.809,165848451288933,B0FDQMJGMR,0,SRA-0008,0,0,185,SP-KT-Face Wash,329565943315869
54.46,0,Ad Group - 2/3/2026 13:09:03.120,81057176750666,B0FDQPNSTL,3,SRA-0009,0,0,3681,SP-KT-Face Serum,303040797298760
82.26,0,Ad Group - 2/3/2026 12:53:57.975,44818168500186,B0FDQTVSJ6,6,SRA-0010,0,0,975,SP-KT-Facial oil,524144331841236
966.04,3,Ad Group - 2/3/2026 13:32:37.977,172561906294754,B0FDL33HLT,54,SRA-0004,3,1014.42,17525,SP-KT-Under Eye Gel,531866202636140
1444.04,2,Ad Group - 3/3/2026 12:28:00.321,112085596366611,B0FDQVW4YD,51,SRA-0011,2,838.98,8095,SP-PT-Face Scrub 2,301031989050742
816.63,6,Ad Group - 3/3/2026 12:42:43.110,131944279995721,B0FDQVW4YD,47,SRA-0011,4,2516.98,10936,SP-KT-Face Scrub 2,293368071987808
0,0,Ad group - 5/3/2026 11:07:55.257,141932700181475,B0FDR1Z162,0,SRA-0012,0,0,1660,AD_READY: B0FDR1Z162 botanic brassion scrub,328541680210549
25.21,0,Ad group - 5/3/2026 11:07:55.187,61415891603772,B0FDL2SCRM,5,SRA-0001,0,0,560,AD_READY: B0FDL2SCRM skin rejuvenator cream,504647753389281
16.17,0,Ad group - 5/3/2026 11:19:43.696,101525330020256,B0FDL3VPCL,4,SRA-0003,0,0,315,AD_READY: B0FDL3VPCL day cream manual,430091731558456
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDR1Z162,0,SRA-0012,0,0,1,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDL3VPCL,0,SRA-0003,0,0,137,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDL33HLT,0,SRA-0004,0,0,4,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDQTVSJ6,0,SRA-0010,0,0,6,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDQPNSTL,0,SRA-0009,0,0,6,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDQK3KN9,0,SRA-0005,0,0,330,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Face,234042213820070,B0FDQJTFP2,0,SRA-0006,0,0,1,GR POTENTIAL ASIN  23-mar-2026 66e55a,420322277277366
0,0,SAGE ROYAL AYURVEDA - Scalp Treatments,234042213820070,B0FDQZDJF1,0,SRA-0014,0,0,1,GR POTENTIAL ASIN  23-mar-2026 66e55a,293697271383945
530.28,1,Ad Group - 3/3/2026 12:42:43.110,131944279995721,B0FDR1Z162,29,SRA-0012,1,419.49,4658,SP-KT-Face Scrub 2,293368071987808
