targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
face scrub,17.73,face scrub for black heads and white heads,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",32.32,face scrub for blackheads,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,15,SP-PT-Face Scrub,530622467560381
"asin=""B01N7VRC5U""",32.71,face scrub for blackheads and whiteheads,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,5,SP-PT-Face Scrub,530622467560381
face scrub,12.66,face scrub for body,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.5,face scrub for brightening skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,54.21,face scrub for dry skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,3,0,0,21,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",74.13,face scrub for dry skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,29,SP-PT-Face Scrub,530622467560381
face scrub,31.0,face scrub for dry skin fruits,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",41.27,face scrub for dry skin women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",82.73,face scrub for glowing dry skin,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,1,419.49,6,SP-PT-Face Scrub,530622467560381
face scrub for glowing skin,1029.55,face scrub for glowing skin,5,Ad Group - 12/12/2025 16:55:23.598,422854550275428,47,5,2097.46,16914,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,650.44,face scrub for glowing skin,5,Ad Group - 12/12/2025 16:55:23.598,422854550275428,38,5,2097.45,6666,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B01N7VRC5U""",36.36,face scrub for glowing skin,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,1,419.49,313,SP-PT-Face Scrub,530622467560381
face scrub,17.19,face scrub for glowing skin 500gm,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.11,face scrub for glowing skin ayurvedic,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,6,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,10.22,face scrub for glowing skin for men,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.5,face scrub for glowing skin for women,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,7,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,35.9,face scrub for glowing skin herbal,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,2,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.03,face scrub for glowing skin korean man,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.74,face scrub for glowing skin men,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,7,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,36.08,face scrub for man,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,2,0,0,67,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",79.51,face scrub for man,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,17,SP-PT-Face Scrub,530622467560381
face scrub,70.86,face scrub for men,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,4,1,419.49,57,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",42.22,face scrub for men sensitive skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
face scrub,14.84,face scrub for men tan removal,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,60,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.32,face scrub for men tan removal herbal,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.5,face scrub for oily acne prone skin women,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",37.64,face scrub for oily skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,8,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",75.87,face scrub for pigmentation,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,2,SP-PT-Face Scrub,530622467560381
face scrub,18.82,face scrub for removing the dark,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.5,face scrub for saloon,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.5,face scrub for sculpting and drainage,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,14.56,face scrub for sensitive skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,6,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",38.32,face scrub for sensitive skin,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,1,419.49,5,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",29.36,face scrub for sensitive skin for women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
face scrub,15.53,face scrub for tan for men,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",38.65,face scrub for tan removal and glowing skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,11,SP-PT-Face Scrub,530622467560381
face scrub,19.08,face scrub for woman,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,34.41,face scrub for women,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,2,0,0,43,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",91.17,face scrub for women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,68,SP-PT-Face Scrub,530622467560381
face scrub,17.61,face scrub for women glowing skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B01N7VRC5U""",38.39,face scrub for women glowing skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,7,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",40.5,face scrub for women in all screen,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,5,SP-PT-Face Scrub,530622467560381
face scrub,211.22,face scrub for women tan removal,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,12,1,419.49,298,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",140.33,face scrub for women tan removal,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,3,1,419.49,190,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",42.85,face scrub for women tan removal dove,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,4,SP-PT-Face Scrub,530622467560381
"asin=""B0CM9DPYN2""",44.47,face scrub forest essential,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,1,SP-PT-Face Scrub,530622467560381
