SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
porslin shelf liners for kitchen shelves,1690,14,163.6,664.41,1,24.62,7.14,MONITOR
baby foam mats for floor,147,26,163.17,1466.66,2,11.13,7.69,BEST CONVERTING
b0fbx54h5z,762,28,162.48,0.0,0,,0.0,ADD AS NEGATIVE
workout mat,718,27,162.25,0.0,0,,0.0,ADD AS NEGATIVE
cloth storage,1095,11,162.03,0.0,0,,0.0,ADD AS NEGATIVE
gym interlocking floor mats,3387,28,160.48,0.0,0,,0.0,ADD AS NEGATIVE
kitchen liner for shelves,2862,10,159.5,491.53,2,32.45,20.0,CONVERTING
foam mat for floor,998,23,158.73,1647.62,1,9.63,4.35,MONITOR
puzzle kids mat,471,20,157.73,0.0,0,,0.0,ADD AS NEGATIVE
foam baby mat,828,28,157.64,0.0,0,,0.0,ADD AS NEGATIVE
storage bags for clothes medium,207,11,157.63,904.76,2,17.42,18.18,BEST CONVERTING
puzzle floor mats for home,164,23,157.45,1452.38,1,10.84,4.35,MONITOR
children mat for floor,238,28,156.75,0.0,0,,0.0,ADD AS NEGATIVE
floor foam mat for kids,1688,28,156.72,0.0,0,,0.0,ADD AS NEGATIVE
clothes organizer for wardrobe,3824,14,155.33,0.0,0,,0.0,ADD AS NEGATIVE
b0fdqmc84r,535,35,155.02,0.0,0,,0.0,ADD AS NEGATIVE
puzzle exercise mat,360,21,154.79,0.0,0,,0.0,ADD AS NEGATIVE
b07rsxn3hm,4661,40,154.44,7468.56,3,2.07,7.5,BEST CONVERTING
home gym machine all in one,1756,26,153.03,0.0,0,,0.0,ADD AS NEGATIVE
floor foam mat,1081,28,152.95,0.0,0,,0.0,ADD AS NEGATIVE
kitchen cover sheets waterproof,398,15,150.58,150.0,1,100.39,6.67,MONITOR
b0dlbr8jbt,779,26,149.19,1640.95,1,9.09,3.85,MONITOR
playing mats for kids,1485,27,148.6,0.0,0,,0.0,ADD AS NEGATIVE
storage bag for clothes,410,8,148.21,452.38,1,32.76,12.5,MONITOR
b0dt9srbws,1462,45,148.2,0.0,0,,0.0,ADD AS NEGATIVE
home gym,5558,27,147.64,0.0,0,,0.0,ADD AS NEGATIVE
kids play mats for floor thick,2833,26,146.49,0.0,0,,0.0,ADD AS NEGATIVE
baby carpets for floor,240,22,145.77,1653.23,2,8.82,9.09,BEST CONVERTING
baby mate for playing,560,29,144.8,1420.37,2,10.19,6.9,BEST CONVERTING
mat for kitchen drawer,556,12,144.68,0.0,0,,0.0,ADD AS NEGATIVE
oxmeza shelf liners for kitchen shelves,4657,16,143.93,0.0,0,,0.0,ADD AS NEGATIVE
b0fk21wghq,5780,67,143.66,0.0,0,,0.0,ADD AS NEGATIVE
b09swcrbxw,987,13,143.53,0.0,0,,0.0,ADD AS NEGATIVE
bag for blanket storage,111,10,143.48,471.42,1,30.44,10.0,MONITOR
under bed storage bag large,106,10,143.37,0.0,0,,0.0,ADD AS NEGATIVE
medium clothes storage bag,145,10,142.86,923.81,2,15.46,20.0,BEST CONVERTING
kitchen shelf sheets waterproof,488,12,142.21,897.47,3,15.85,25.0,BEST CONVERTING
floor mat for kids play zone,160,21,141.99,0.0,0,,0.0,ADD AS NEGATIVE
interlocking play mat,344,20,141.72,0.0,0,,0.0,ADD AS NEGATIVE
foam mat tiles,1265,25,141.19,1519.05,1,9.29,4.0,MONITOR
solimo shelf liners for kitchen shelves,1941,12,140.09,750.0,1,18.68,8.33,MONITOR
kids playing items indoor,554,20,138.25,0.0,0,,0.0,ADD AS NEGATIVE
jumbo blanket storage bags,321,8,138.01,942.85,2,14.64,25.0,BEST CONVERTING
b0g1yy2hnf,141,11,137.44,923.81,2,14.88,18.18,BEST CONVERTING
b0g1ykgmtj,371,14,137.28,803.81,2,17.08,14.29,BEST CONVERTING
mat playing kids,657,20,137.24,852.38,1,16.1,5.0,MONITOR
shelf mats for kitchen shelves,489,14,137.03,950.85,2,14.41,14.29,BEST CONVERTING
floor sheet,199,17,136.73,0.0,0,,0.0,ADD AS NEGATIVE
kids floor mat for play large size,450,22,136.34,0.0,0,,0.0,ADD AS NEGATIVE
extra large storage bags,1521,11,135.52,0.0,0,,0.0,ADD AS NEGATIVE
clothes storage box moisture proof,135,7,135.49,452.38,1,29.95,14.29,MONITOR
interlocking foam mat for kids,895,23,134.66,833.33,1,16.16,4.35,MONITOR
gym rubber mat,887,19,132.39,0.0,0,,0.0,ADD AS NEGATIVE
storite blanket storage bags,587,9,132.2,519.05,1,25.47,11.11,MONITOR
wolpin baby mats for floor,1010,28,131.75,0.0,0,,0.0,ADD AS NEGATIVE
interlocking mats for kids,550,20,131.59,0.0,0,,0.0,ADD AS NEGATIVE
