run_date,tracked_at,marketplace,group,keyword,asin,scan_status,scanned_pages,found_any,page_est
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for cupboard,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for cupboard,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for cupboard,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for cupboard,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for shelves,B0BN5NZCGH,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for shelves,B0BN5P232F,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liner,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liner,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liner,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liner,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for wardrobe,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for wardrobe,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for wardrobe,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf liners for wardrobe,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mat roll,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mat roll,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mat roll,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mat roll,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for cupboards,B0BN5NZCGH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for cupboards,B0BN5P232F,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for cupboards,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for cupboards,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf mats for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for cupboards,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for cupboards,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for cupboards,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for cupboards,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf sheets for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent plastic sheet,B0BN5NZCGH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent plastic sheet,B0BN5P232F,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent plastic sheet,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent plastic sheet,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent sheet for kitchen,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent sheet for kitchen,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,transparent sheet for kitchen,B0CN177JS7,ok,7,False,
