asin,pincode,url,title,is_buyable,availability_text,amazon_fulfilled,merchant_text,delivery_type,delivery_text,captcha_seen,error
B0831486NM,700001,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,other,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March | FREE delivery Monday, 30 March on your first order. Details Or fastest delivery Today 6 am - 10 am. Order within 2 hrs 35 mins. Details",False,
B08313YD84,700001,https://www.amazon.in/dp/B08313YD84,,True,In stock,False,,other,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March | FREE delivery Monday, 30 March on your first order. Details Or fastest delivery Today 6 am - 10 am. Order within 2 hrs 35 mins. Details",False,
B0D7W73KZ1,700001,https://www.amazon.in/dp/B0D7W73KZ1,,True,In stock,False,,next_day,"FREE delivery Monday, 30 March. Details | Monday, 30 March | FREE delivery Monday, 30 March. Details Or fastest delivery Tomorrow, 29 March. Order within 10 hrs 4 mins. Details",False,
B0831486NM,744101,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,other,"FREE delivery Saturday, 11 April on your first order. Details | Saturday, 11 April",False,
B08313YD84,744101,https://www.amazon.in/dp/B08313YD84,,True,In stock,False,,other,"FREE delivery Saturday, 11 April on your first order. Details | Saturday, 11 April",False,
B0D7W73KZ1,744101,https://www.amazon.in/dp/B0D7W73KZ1,,True,In stock,False,,other,"FREE delivery Monday, 13 April. Details | Monday, 13 April",False,
B0831486NM,160001,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,next_day,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March | FREE delivery Monday, 30 March on your first order. Details Or fastest delivery Tomorrow, 29 March. Details",False,
B08313YD84,160001,https://www.amazon.in/dp/B08313YD84,,True,In stock,False,,next_day,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March | FREE delivery Monday, 30 March on your first order. Details Or fastest delivery Tomorrow, 29 March. Details",False,
B0D7W73KZ1,160001,https://www.amazon.in/dp/B0D7W73KZ1,,True,In stock,False,,next_day,"FREE delivery Monday, 30 March. Details | Monday, 30 March | FREE delivery Monday, 30 March. Details Or fastest delivery Tomorrow, 29 March. Order within 14 hrs 48 mins. Details",False,
B0831486NM,396230,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March on your first order. Order within 14 hrs 18 mins. Details | Tuesday, 31 March | 14 hrs 18 mins",False,
B08313YD84,396230,https://www.amazon.in/dp/B08313YD84,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March on your first order. Order within 14 hrs 17 mins. Details | Tuesday, 31 March | 14 hrs 17 mins",False,
B0D7W73KZ1,396230,https://www.amazon.in/dp/B0D7W73KZ1,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March. Order within 14 hrs 17 mins. Details | Tuesday, 31 March | 14 hrs 17 mins",False,
B0831486NM,110007,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March on your first order. Order within 14 hrs 17 mins. Details | Tuesday, 31 March | 14 hrs 17 mins",False,
B08313YD84,110007,https://www.amazon.in/dp/B08313YD84,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March on your first order. Order within 14 hrs 17 mins. Details | Tuesday, 31 March | 14 hrs 17 mins",False,
B0D7W73KZ1,110007,https://www.amazon.in/dp/B0D7W73KZ1,,True,In stock,False,,other,"FREE delivery Tuesday, 31 March. Order within 14 hrs 17 mins. Details | Tuesday, 31 March | 14 hrs 17 mins",False,
B0831486NM,190001,https://www.amazon.in/dp/B0831486NM,,True,In stock,False,,other,"FREE delivery Saturday, 4 April on your first order. Details | Saturday, 4 April",False,
