sku,asin,product_name,fba_available,fba_inbound_working,fba_inbound_shipped,fba_reserved,fba_unsellable,fba_total,snapshot_date
EH_Antislip_Brown_45cmx1.5mtr,B0BTTD6CK7,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 1.5 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",72,0,0,0,0,72,2026-04-13
EH_Antislip_Clear_45cmx1.5mtr,B0BTT8W68J,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 1.5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",103,0,0,1,0,104,2026-04-13
EH_Antislip_Grey_45cmx1.5mtr,B0BTTCZBLV,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 1.5 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",406,0,0,4,0,410,2026-04-13
EH_BOC_4x5_CoffeeBrown_P1,B0CN2WH472,"EASYHOME Thermal Insulated 100% Room Darkening Blackout Curtain | Window-5 Feet | Set of 1 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Coffee Brown",29,0,0,0,0,29,2026-04-13
EH_BOC_4x5_CoffeeBrown_P2,B0CN2XXZJ8,"EASYHOME Thermal Insulated 100% Room Darkening Blackout Curtain | Window-5 Feet | Set of 2 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Coffee Brown",14,0,0,0,0,14,2026-04-13
EH_BOC_4x5_Cream_P1,B0CPT3Y43Y,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Window - 5 Feet | Set of 1 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Cream",20,0,0,0,0,20,2026-04-13
EH_BOC_4x5_Cream_P2,B0CPT6FNRX,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Opaque Curtain|Window - 5 Feet|Set of 2|Noise Reduction Solid Heavy Polyester Curtain|Bedroom Living Room Kids Room Parda|310 GSM,Cream",10,0,0,0,0,10,2026-04-13
EH_BOC_4x5_Maroon_P1,B0CPT78LN2,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Window - 5 Feet | Set of 1 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Maroon",0,0,0,0,0,0,2026-04-13
EH_BOC_4x7_Maroon_P1,B0CPT3239Q,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Door - 7 Feet | Set of 1 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Maroon",54,0,0,0,0,54,2026-04-13
EH_BOC_4x7_Maroon_P2,B0CPT73GB8,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Door - 7 Feet | Set of 2 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Maroon",27,0,0,0,0,27,2026-04-13
EH_BOC_4x9_Maroon_P1,B0CPT7HQ5G,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Long Door - 9 Feet | Set of 1 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Maroon",35,0,0,0,0,35,2026-04-13
EH_BOC_4x9_Maroon_P2,B0CPT5FT94,"EASY HOME Thermal Insulated 100% Room Darkening Blackout Curtain | Long Door - 9 Feet | Set of 2 | Noise Reduction Solid Heavy Polyester Curtain | Bedroom Living Room Kids Room Parda | 310 GSM, Maroon",17,0,0,0,0,17,2026-04-13
