cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
50.78,2,Ad Group - 24/5/2025 12:15:32.648,425765379909690,B0DX25VNGF,7,eh_eva_mats_black_8,2,3223.81,1949,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),389155763929070
44.63,0,Ad Group - 24/5/2025 13:46:35.933,486573877816929,B0C145GFJY,8,EH_EVA_Grey_Mat_PO8,0,0.0,1704,SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim),423665939915321
233.4,2,Ad Group - 24/5/2025 13:46:35.933,486573877816929,B0CRKV6Z84,43,eHK_EVA_Black_8,2,4023.81,3780,SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim),423665939915321
246.36,0,Ad Group - 24/5/2025 14:27:48.286,475976771349191,B0CRKV5XTR,29,eHK_EVA_Black_4,0,0.0,541,SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),301389136846717
0.0,0,Ad Group - 24/5/2025 14:27:48.286,475976771349191,B0CRKV6Z84,0,eHK_EVA_Black_8,0,0.0,139,SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),301389136846717
7.87,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0DX25VNGF,1,eh_eva_mats_black_8,0,0.0,136,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
698.91,1,Ad Group - 27/5/2025 17:45:26.571,406348657309210,B0F91VHKKW,85,EH_EVA_Blue_Grey_White_PO9,1,1989.52,6230,SP-PT-EVA Kids Mat- (Defensive),428196533015263
162.4,0,Ad Group - 24/1/2026 13:29:34.789,10906973167401,B0G1YT2S5N,10,SB_Grey&Black_70Ltrs_PO2,0,0.0,1378,SP-KT-Storage Bags for Clothes,520274077481226
556.41,2,Ad Group - 31/1/2026 15:39:17.258,65232048239628,B0G1YT2S5N,27,SB_Grey&Black_70Ltrs_PO2,2,942.86,1802,SP-PT-SB-(B0DBDWG8K4 Storite),296880529921132
197.29,1,Ad Group - 31/1/2026 15:39:17.258,65232048239628,B0G1YNMTPK,13,SB_Navy Blue&White_70Ltrs_PO2,1,471.43,2573,SP-PT-SB-(B0DBDWG8K4 Storite),296880529921132
130.35,1,Ad Group - 31/1/2026 15:36:05.640,256312749004119,B0G1YY2HCV,8,SB_Orange&Navy Blue_33Ltrs_PO4,1,900.0,1483,SP-PT-SB-(B0DBDYX4W6 Storite),301362752720555
61.58,0,Ad Group - 31/1/2026 15:36:05.640,256312749004119,B0G1YW28HY,4,SB_Grey&Black_33Ltrs_PO4,0,0.0,412,SP-PT-SB-(B0DBDYX4W6 Storite),301362752720555
77.49,0,Ad Group - 31/1/2026 15:36:05.640,256312749004119,B0G1YPPMQR,4,SB_Grey&Black_70Ltrs_PO4,0,0.0,360,SP-PT-SB-(B0DBDYX4W6 Storite),301362752720555
32.24,0,Ad Group - 31/1/2026 15:36:05.640,256312749004119,B0G1YPN442,2,SB_Black&White_70Ltrs_PO4,0,0.0,342,SP-PT-SB-(B0DBDYX4W6 Storite),301362752720555
160.16,0,Ad Group - 31/1/2026 15:36:05.640,256312749004119,B0G1YQXMCY,10,SB_Orange & Navy Blue_70Ltrs_PO4,0,0.0,1026,SP-PT-SB-(B0DBDYX4W6 Storite),301362752720555
24.05,0,Ad Group - 24/1/2026 13:29:08.355,9582538140844,B0G1YT2S5N,1,SB_Grey&Black_70Ltrs_PO2,0,0.0,200,SP-KT-Under Bed Storage Organizer Box,293538463249640
1302.31,2,Ad Group - 24/1/2026 13:19:50.598,39113273495549,B0G1YQXMCY,78,SB_Orange & Navy Blue_70Ltrs_PO4,2,1895.24,15082,SP-KT-Storage Bags for Clothes Large,327667665533549
220.09,1,Ad Group - 24/1/2026 13:19:50.598,39113273495549,B0G1YPPMQR,13,SB_Grey&Black_70Ltrs_PO4,1,942.86,4565,SP-KT-Storage Bags for Clothes Large,327667665533549
107.96,0,Ad Group - 24/1/2026 13:19:50.598,39113273495549,B0G1YPN442,8,SB_Black&White_70Ltrs_PO4,0,0.0,3207,SP-KT-Storage Bags for Clothes Large,327667665533549
918.61,2,Ad Group - 31/1/2026 15:42:54.492,6450007315179,B0G25TVVSX,62,SB_Navy Blue&White_33Ltrs_PO2,2,923.81,9584,SP-PT-SB-(B07QRQZK1G Storite),436104199067330
16.14,0,Ad Group - 31/1/2026 15:42:54.492,6450007315179,B0G1YY2HNF,1,SB_Black&White_33Ltrs_PO2,0,0.0,205,SP-PT-SB-(B07QRQZK1G Storite),436104199067330
147.39,0,Ad Group - 24/1/2026 13:20:29.798,255888663353885,B0G1YT2S5N,8,SB_Grey&Black_70Ltrs_PO2,0,0.0,697,SP-KT-Blanket Storage Bags,306128784330727
24.57,0,Ad Group - 24/1/2026 13:20:29.798,255888663353885,B0G1YPPMQR,1,SB_Grey&Black_70Ltrs_PO4,0,0.0,532,SP-KT-Blanket Storage Bags,306128784330727
18.4,0,Ad Group - 31/1/2026 15:39:21.079,33915106654796,B0G1YSGT1J,1,SB_Navy Blue&White_33Ltrs_PO4,0,0.0,135,SP-PT-SB-(B081T9SFWY Storite),302484975782956
27.57,1,Ad Group - 31/1/2026 15:39:21.079,33915106654796,B0G1YY2HCV,2,SB_Orange&Navy Blue_33Ltrs_PO4,1,947.62,226,SP-PT-SB-(B081T9SFWY Storite),302484975782956
0.0,0,Ad Group - 31/1/2026 15:39:21.079,33915106654796,B0G1YW28HY,0,SB_Grey&Black_33Ltrs_PO4,0,0.0,27,SP-PT-SB-(B081T9SFWY Storite),302484975782956
96.23,0,Ad Group - 31/1/2026 15:38:24.556,241740193793969,B0G1YT2S5N,7,SB_Grey&Black_70Ltrs_PO2,0,0.0,1046,SP-PT-SB-(B07B8K3RQK Storite),518615471165393
