ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category,CategoryKey,total_units,total_revenue,shipped_units,cancelled_units,fba_available,fba_inbound,fba_total,cost_price,organic_sales,blended_roas,ad_contribution_pct
B0CJJPJP4M,Antislipmat_Grey_Lines_45cmx5mtr,49522,319,4069.12,8617.0,18,23,47.22,2.12,0.64,5.64,12.76,10,MONITOR,ASM,34.0,13025.0,33.0,0.0,,,,145.0,4408.0,3.200937794904058,66.1573896353167
B0822G97QZ,eva_mat_multi_12,92306,640,3916.92,54298.09,23,24,7.21,13.86,0.69,3.59,6.12,23,PUSH HARDER,EVA_Kids,32.0,75974.0,32.0,0.0,,,,915.0,21675.910000000003,19.396362448045913,71.46930528865137
B0C145JTP3,EH_EVA_Grey_Mat_PO12,80403,360,3907.64,50637.13,16,17,7.72,12.96,0.45,4.44,10.85,9,PUSH HARDER,EVA_Gym,5.0,12448.0,5.0,0.0,,,,,0.0,3.1855544523036925,406.7892834190231
B0F91VHKKW,EH_EVA_Blue_Grey_White_PO9,44525,517,3801.09,29221.85,14,15,13.01,7.69,1.16,2.71,7.35,8,PUSH HARDER,EVA_Kids,32.0,62503.0,32.0,0.0,,,,,33281.15,16.44344122343854,46.75271586963826
B0G1YQXMCY,SB_Orange & Navy Blue_70Ltrs_PO4,46719,218,3158.72,8019.04,12,12,39.39,2.54,0.47,5.5,14.49,2,MONITOR,Storage,18.0,17894.0,18.0,0.0,,,,440.0,9874.96,5.66495289231081,44.814127640549906
B086424GCB,eva_mats_black_16,85049,341,2856.11,37391.41,11,16,7.64,13.09,0.4,3.23,8.38,12,PUSH HARDER,EVA_Gym,22.0,67304.52,22.0,0.0,,,,1220.0,29913.11,23.565100783933392,55.555570413398684
B0CRHSF42W,LT_EVA_MULTI_8,45993,388,2461.12,43665.71,18,20,5.64,17.74,0.84,4.64,6.34,23,PUSH HARDER,EVA_Kids,16.0,25228.0,16.0,0.0,,,,,0.0,10.250617604992849,173.08431108292373
B0G1YKGMTJ,SB_Black&White_70Ltrs_PO2,40353,203,2452.98,5958.49,11,12,41.17,2.43,0.5,5.42,12.08,9,MONITOR,Storage,11.0,5445.0,10.0,0.0,,,,220.0,0.0,2.219749039943253,109.43048668503212
B0GQ9H6BV3,LT_Baby_Play_Mat_B,42937,398,2413.1,5965.71,6,6,40.45,2.47,0.93,1.51,6.06,10,MONITOR,BPM,28.0,25024.0,28.0,0.0,,,,,19058.29,10.37006340392027,23.83995364450128
B0F7RQKXVL,EH_EVA_ALL_MULTICOLOR_PO9,91606,348,2056.81,9940.0,4,4,20.69,4.83,0.38,1.15,5.91,11,WINNER,EVA_Kids,22.0,45958.0,7.0,0.0,,,,,36018.0,22.34430987791775,21.62844336132991
B0CJR97J2H,Antislipmat_Clear_Lines_60cmx10mtr,51688,158,2008.99,8877.11,9,13,22.63,4.42,0.31,5.7,12.72,7,WINNER,ASM,38.0,35448.0,38.0,0.0,,,,400.0,26570.89,17.644687131344607,25.04262581809975
B0D9C1KYDY,Lil_EVA_MULTI_12,20325,280,1829.67,30255.23,11,13,6.05,16.54,1.38,3.93,6.53,2,PUSH HARDER,EVA_Kids,14.0,36441.0,14.0,0.0,,,,,6185.77,19.91670629129843,83.02524628852117
