run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_position,organic_position,sponsored_position,found_anywhere,found_organic,found_sponsored,page_est,title,product_url,found,is_sponsored,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0FZTTQ5L4,ok,3,,,,,,,1.0,"Gizmophy Starlight Retractable Car Charger - Extra-Long Type-C Retractable Cables, 4-in-1 Car Mobile Charger with Starry S...",,,True,3.0,,2.0,True,False,True
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0FZTTQ5L4,ok,3,,,,,,,1.0,"Sponsored Ad - Gizmophy Starlight Retractable Car Charger - Extra-Long Type-C Retractable Cables, 4-in-1 Car Mobile Charge...",,,True,3.0,,3.0,True,False,True
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,retractable car charger,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car charger,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car camera,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,magnetic phone holder,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,phone holder in car,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car mobile holder for dashboard,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car phone holder,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
