SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
mamaearth scrub for face,12,1,58.76,0.0,0,,0.0,ADD AS NEGATIVE
best face scrub for women,13,2,58.1,419.49,1,13.85,50.0,MONITOR
ayurvedic under eye gel,12,3,57.74,0.0,0,,0.0,ADD AS NEGATIVE
mamaearth ubtan face scrub,45,2,57.47,419.49,1,13.7,50.0,MONITOR
b0fpm8x5kz,169,4,57.11,0.0,0,,0.0,ADD AS NEGATIVE
red sandalwood,79,4,56.64,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for women glowing skin,9,2,56.0,0.0,0,,0.0,ADD AS NEGATIVE
b0b6ss6x8s,52,3,55.98,0.0,0,,0.0,ADD AS NEGATIVE
walnut scrub,53,2,54.88,0.0,0,,0.0,ADD AS NEGATIVE
b0cm9b9fgv,23,3,54.25,0.0,0,,0.0,ADD AS NEGATIVE
patanjali multani mitti face scrub,26,2,54.18,0.0,0,,0.0,ADD AS NEGATIVE
lotus face scrub,139,4,54.06,419.49,1,12.89,25.0,MONITOR
clay co enzyme scrub,428,3,53.38,0.0,0,,0.0,ADD AS NEGATIVE
nivea face scrub,8,2,52.94,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for sensitive skin,11,2,52.88,419.49,1,12.61,50.0,MONITOR
men face scrub for tan removal,55,2,52.62,0.0,0,,0.0,ADD AS NEGATIVE
melblock pigmentation cream,200,4,52.42,0.0,0,,0.0,ADD AS NEGATIVE
orange face scrub,45,3,51.67,419.49,1,12.32,33.33,MONITOR
men's face scrub with mustache face wash,4,2,51.64,0.0,0,,0.0,ADD AS NEGATIVE
mamaearth scrub for tan removal,210,3,51.18,0.0,0,,0.0,ADD AS NEGATIVE
lilium gold face scrub,5,1,50.71,0.0,0,,0.0,ADD AS NEGATIVE
b0dj2ryk7z,17,3,50.22,0.0,0,,0.0,ADD AS NEGATIVE
brightening body scrub,5,1,50.1,0.0,0,,0.0,ADD AS NEGATIVE
minimalist scrub for face,2,1,50.02,0.0,0,,0.0,ADD AS NEGATIVE
b0c4szpqyk,179,4,49.97,419.49,1,11.91,25.0,MONITOR
exfoliating scrubber for face,5,2,49.84,0.0,0,,0.0,ADD AS NEGATIVE
facial kit for tan removal and glow,25,3,49.76,0.0,0,,0.0,ADD AS NEGATIVE
diamond scrub for face,6,1,49.34,0.0,0,,0.0,ADD AS NEGATIVE
facial scrub for women,15,2,49.34,0.0,0,,0.0,ADD AS NEGATIVE
b0brkpxbnx,10,3,49.15,419.49,1,11.72,33.33,MONITOR
b08npqwphy,828,3,48.98,0.0,0,,0.0,ADD AS NEGATIVE
pilgrim scrub face,13,1,48.6,0.0,0,,0.0,ADD AS NEGATIVE
sugar scrub oriflame,8,2,48.33,0.0,0,,0.0,ADD AS NEGATIVE
face scrub patanjali,3,1,48.25,0.0,0,,0.0,ADD AS NEGATIVE
rice face scrub,2,1,48.24,0.0,0,,0.0,ADD AS NEGATIVE
gentle face scrub,3,1,48.22,419.5,1,11.49,100.0,MONITOR
b00791ff2q,90,3,48.01,0.0,0,,0.0,ADD AS NEGATIVE
green tea face mask,26,2,47.86,0.0,0,,0.0,ADD AS NEGATIVE
dtan scrub for tan removal,170,3,47.72,0.0,0,,0.0,ADD AS NEGATIVE
b008to7u98,48,3,47.41,0.0,0,,0.0,ADD AS NEGATIVE
b0852zbplb,21,3,47.38,0.0,0,,0.0,ADD AS NEGATIVE
faces scrub for women,4,1,47.06,0.0,0,,0.0,ADD AS NEGATIVE
neem face scrub for glowing skin,5,1,46.59,0.0,0,,0.0,ADD AS NEGATIVE
natural face scrub unisex,3,2,46.34,419.5,1,11.05,50.0,MONITOR
scrub for women face,17,1,46.23,419.49,1,11.02,100.0,MONITOR
clay scrub for face,38,2,46.14,0.0,0,,0.0,ADD AS NEGATIVE
plum scrub for face,6,1,46.07,0.0,0,,0.0,ADD AS NEGATIVE
b0cbg2jlcn,29,3,45.97,0.0,0,,0.0,ADD AS NEGATIVE
enzyme scrub,38,1,45.87,0.0,0,,0.0,ADD AS NEGATIVE
natural ubtan brightening body scrub,1,1,45.81,0.0,0,,0.0,ADD AS NEGATIVE
best tan removal product,21,3,45.8,0.0,0,,0.0,ADD AS NEGATIVE
